Name,Model,Date,Clock Speed (MHz),Bus Width,Power Typ (W),Tech,Feature Size (um),Num Metal Layers,Num Transistors,Die Size,I $,D $,L2 $,L3$,Vdd,MIPS,Spec92,Spec92,Spec95,Spec95,Spec2000,Spec2000,Spec2006,Spec2006,SpecRate06,SpecRate06,Cycle in FO4,SpecInt2006 per MHz,Power Density (W/mm2),SpecAvg,SpecrAvg,Watts/Spec,Watts/SpecR,Watts/l^3*Spec,l^3*Spec^2/Watt,,SpecAvg*L,Watts/(V^2*L*Spec),Watts/(V^2*L*SpecR),NumChips,NumCores/Chip,ThreadPerCore,FO4,Performance,PerformanceR,IPC,IPCRate,,,,
Name,,Introduction,Clock Speed (MHz),Bus Width,Power Typ (W),Tech,Feature Size (um),Num Metal Layers,Num Transistors,Die Size,I $,D $,L2 $,L3$,Vdd,MIPS,int,fp,int,fp,int,fp,int,fp,int,fp,Cycle in FO4,SpecInt2006 per MHz,Power Density (W/mm2),,,,,,,2071.22086543168,,,,NumChips,NumCores/Chip,ThreadPerCore,FO4,Performance,PerformanceR,IPC,IPCRate,,,,
,Duo Extreme X6800 (Kentsfield),2006-08-01,2930,64,75,cmos,0.065,6,291,143,32,32,4096,,1.34,,,,,,2455,2294,19,17,31,27,29,0.006314,0.52,17.650000,29.000000,4.24929178470255,2.58620689655172,241.766715105971,0.0730042594666667,,1.14725,36.4077298756152,22.1584976656761,1,2,1,1.05E-11,18.4619,0.212125874125874,0.00630098976109215,0.0000723979092579775,,,,
,Extreme quad-core QX9650 (Yorkfield),2007-11-01,3000,64,130,cmos; high-K,0.045,9,820,167,128,128,12288,,1.36,,,,,,,,22,21,73,53,41,0.007200,0.78,21.150000,63.000000,6.14657210401891,2.06349206349206,1053.93897531188,0.0200675755384615,,0.95175,73.8486652251407,24.7920518970115,1,4,2,8.50E-12,17.9775,3.21E-01,0.0059925,0.00010688622754491,,,,
,Due T7600 (Merom),2006-09-01,2333,64,34,cmos,0.065,6,291,143,32,32,4096,,1.3,,,,,,2455,2292,14,13,24,20,37,0.006001,0.24,13.250000,22.000000,2.56603773584906,1.54545454545455,145.996685016446,0.0907554852941177,,0.86125,23.3594696026314,14.0687714652212,1,2,1,1.05E-11,13.8595,0.160923076923077,0.00594063437633948,0.0000689768868080055,,,,
Intel Xeon (2006),Dual-Core (Paxville),2006-11-01,3000,64,135,cmos,0.09,9,200,213,32,32,4096,,1.412,,,,,,2929,2893,17,14,,,21,0.005533,0.63,15.500000,0.000000,8.70967741935484,#DIV/0!,186.678614097969,0.0830304,,1.395,48.5389265363994,#DIV/0!,2,2,1,1.35E-11,20.925,0,0.006975,0,,,,
,7140M (Tulsa),2006-08-01,3400,64,150,cmos,0.065,6,1300,435,12,16,2048,16384,1.35,,,,,,1736,2000,12,13,20,15,25,0.003529,0.34,12.650000,17.250000,11.8577075098814,8.69565217391304,674.653363102038,0.0187503697333333,,0.82225,100.096718454206,73.4042601997513,4,2,2,0.0000000000133075,16.8339875,0.0527711206896552,0.00495117279411765,0.0000155209178498986,,,,
Intel Core i7 (2009),975 XE (Nehalem-Bloomfield),2009-05-10,3333,64,130,cmos; high-K,0.045,9,731,263,128,128,1024,8192,0.8-1.375,,,,,,,,31.60,32.90,123.00,89.00,37,0.009481,0.49,32.250000,106.000000,4.03100775193798,1.22641509433962,691.187886134771,0.0466588038461538,,1.45125,#VALUE!,#VALUE!,1,4,2,8.50E-12,27.4125,0.342585551330798,0.00822457245724572,0.000102785943993639,,,,
Intel Atom (2008),Z series (Silverthorne ),2008-04-08,1600,32,2.4,cmos; high-K,0.045,9,47,26,32,24,512,,1.1,,,,,,653,582,4.18,3.46,,,77,0.002614,0.09,3.819470,0.000000,0.628359461968343,#DIV/0!,107.743391969881,0.0354496897528332,,0.171876141821258,11.5401186771046,#DIV/0!,1,1,2,0.000000000008415,3.21408385205752,0,0.00200880240753595,0,,,,
,N series (Diamondville),2008-06-08,1860,32,4,cmos; high-K,0.045,9,47,26,32,24,512,,1.16,,,,,,,,?,?,,,66,#VALUE!,0.15,#VALUE!,0.000000,#VALUE!,#DIV/0!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#DIV/0!,1,1,2,1.56E-011,#VALUE!,0,#VALUE!,0,,,,
,300 series (Dual Diamondville),2008-09-08,1860,32,8,cmos; high-K,0.045,9,94,52,64,48,1024,,1.16,,,,,,,,?,?,,,66,#VALUE!,0.15,#VALUE!,0.000000,#VALUE!,#DIV/0!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#DIV/0!,1,2,2,1.56E-011,#VALUE!,0,#VALUE!,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,
Zylog Z80,,1976-07-01,2.5,8,0.8,nmos,?,2,0.0085,18,0,0,0,,5,,,,,,,,?,?,,,,,0.04,#VALUE!,0.000000,,#DIV/0!,,,,,#VALUE!,#VALUE!,,,,#N/A,#VALUE!,#N/A,#VALUE!,#N/A,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!,,,,
Dec Alpha (2001-2003),21064,1992-10-01,200,64,35,cmos,0.68,3,1.7,234,8,8,0,,3.3,,106.5,200.4,,,28,32,0.18,0.19,,,20,0.000896,0.15,0.184269,0.000000,189.939461812349,#DIV/0!,9.43861976776521,0.0195229009209433,,0.125303082218445,25.6494708869914,#DIV/0!,,1,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
,21064A,1994-06-01,300,,28,cmos,0.5,4,2.8,?,16,16,0,,3.3,,201.5,366.5,,,53,58,0.34,0.35,,,19,0.001130,,0.342658,0.000000,81.714054758077,#DIV/0!,10.2142568447596,0.033547062341417,,0.171329155571198,15.0071725910151,#DIV/0!,,1,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
,21164,1995-03-01,300,64,50,cmos,0.5,4,9.67,299,8,8,96,,3.3,,341,513,8.5,12.7,90,96,0.58,0.57,,,19,0.001930,0.17,0.574958,0.000000,86.9628912115489,#DIV/0!,10.8703614014436,0.0528922511143152,,0.287478942474258,15.9711462280163,#DIV/0!,,1,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
,,1995-10-02,333,,50,,0.5,,,,,,,,3.3,,412,542,9.8,13.4,104,101,0.67,0.60,,,17,0.002005,,0.634967,0.000000,78.7442771806232,#DIV/0!,9.8430346475779,0.0645092495505207,,0.317483389207512,14.461758894513,#DIV/0!,,1,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
,21164A,1996-07-08,500,,43,,0.35,4,9.67,209,8,8,96,,2,,,,15,20.4,160,154,1.02,0.92,,,16,0.002043,0.21,0.969411,0.000000,44.3568430868099,#DIV/0!,16.1650302794497,0.0599696209297991,,0.339293758362062,31.6834593477214,#DIV/0!,,1,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
